sn  InstrumentID    TradingDay  ActionDay   UpdateTime  UpdateMillisec  LastPrice    Volume HighestPrice    LowestPrice OpenPrice   
2.02006E+13 ru2009  20200610    20200609    20:59:00    500 10600   583 10600   10600   10600   -1
2.02006E+13 ru2009  20200610    20200609    21:00:00    500 10605   729 10610   10600   10600   -1
2.02006E+13 ru2009  20200610    20200609    21:00:01    0   10605   869 10610   10600   10600   -1
2.02006E+13 ru2009  20200610    20200609    21:00:01    500 10600   966 10610   10600   10600   -1
2.02006E+13 ru2009  20200610    20200609    21:00:02    0   10600   1089    10610   10600   10600   -1
2.02006E+13 ru2009  20200610    20200609    21:00:02    500 10600   1192    10610   10595   10600   -1
2.02006E+13 ru2009  20200610    20200609    21:00:03    0   10600   1253    10610   10595   10600   -1
2.02006E+13 ru2009  20200610    20200609    21:00:03    500 10605   1282    10610   10595   10600   -1
2.02006E+13 ru2009  20200610    20200609    21:00:04    0   10605   1297    10610   10595   10600   -1
2.02006E+13 ru2009  20200610    20200609    21:00:04    500 10605   1383    10610   10595   10600   -1
2.02006E+13 ru2009  20200610    20200609    21:00:05    0   10605   1414    10610   10595   10600   -1
2.02006E+13 ru2009  20200610    20200609    21:00:05    500 10605   1431    10610   10595   10600   -1
2.02006E+13 ru2009  20200610    20200609    21:00:06    0   10605   1492    10610   10595   10600   -1
2.02006E+13 ru2009  20200610    20200609    21:00:06    500 10605   1518    10610   10595   10600   -1
2.02006E+13 ru2009  20200610    20200609    21:00:07    0   10605   1527    10610   10595   10600   -1
2.02006E+13 ru2009  20200610    20200609    21:00:07    500 10605   1555    10610   10595   10600   -1
2.02006E+13 ru2009  20200610    20200609    21:00:08    0   10605   1587    10610   10595   10600   -1
2.02006E+13 ru2009  20200610    20200609    21:00:08    500 10610   1639    10610   10595   10600   -1
2.02006E+13 ru2009  20200610    20200609    21:00:09    0   10615   1661    10615   10595   10600   -1
2.02006E+13 ru2009  20200610    20200609    21:00:09    500 10615   1704    10615   10595   10600   -1
2.02006E+13 ru2009  20200610    20200609    21:00:10    0   10610   1708    10615   10595   10600   -1
2.02006E+13 ru2009  20200610    20200609    21:00:10    500 10615   1813    10620   10595   10600   -1
2.02006E+13 ru2009  20200610    20200609    21:00:11    0   10615   1878    10620   10595   10600   -1
2.02006E+13 ru2009  20200610    20200609    21:00:11    500 10620   1914    10620   10595   10600   -1
